3.000000,1
4.000000,4
5.000000,1
6.000000,2
7.000000,3
8.000000,4
9.000000,1
10.000000,2
11.000000,3
12.000000,4
13.000000,1
14.000000,2
15.000000,3
16.000000,4
17.000000,1
18.000000,2
19.000000,3
20.000000,4
21.000000,1
22.000000,2
23.000000,3
24.000000,4
25.000000,1
26.000000,2
27.000000,3
28.000000,4
29.000000,1
30.000000,2
31.000000,3
32.000000,4
33.000000,1
34.000000,2
35.000000,3
36.000000,4
37.000000,1
38.000000,2
39.000000,3
40.000000,4
41.000000,1
42.000000,2
43.000000,3
44.000000,4
45.000000,1
46.000000,2
47.000000,3
48.000000,4
49.000000,1
50.000000,2
51.000000,3
52.000000,4
53.000000,1
54.000000,2
55.000000,3
56.000000,4
57.000000,1
58.000000,2
59.000000,3
60.000000,4
